City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Iquitos,PE,2021-07-28 05:22:20,-3.7481,-73.2472,73.44,94,75,2.3
282,Springbok,ZA,2021-07-28 05:21:49,-29.6643,17.8865,39.76,80,6,2.75
283,Sao Filipe,CV,2021-07-28 05:22:21,14.8961,-24.4956,73.69,81,9,8.05
284,Tupik,RU,2021-07-28 05:22:21,54.4253,119.9327,62.69,93,100,3.91
285,Moree,AU,2021-07-28 05:22:21,-29.4667,149.85,69.82,52,13,13.8
286,Port Lincoln,AU,2021-07-28 05:22:22,-34.7333,135.8667,56.86,54,14,23.47
287,Imbituba,BR,2021-07-28 05:22:22,-28.24,-48.6703,51.69,67,15,14.23
288,Uyemskiy,RU,2021-07-28 05:22:23,64.4743,40.8524,60.85,67,0,6.71
289,Labrea,BR,2021-07-28 05:22:23,-7.2586,-64.7981,75.4,55,22,1.99
290,Chipinge,ZW,2021-07-28 05:22:24,-20.1883,32.6236,46.6,90,0,2.98
291,Provideniya,RU,2021-07-28 05:19:50,64.3833,-173.3,50.11,87,90,17.9
292,Vestmannaeyjar,IS,2021-07-28 05:20:21,63.4427,-20.2734,52.5,84,44,3.78
